recommendation_id,steam_id,num_games_owned,num_reviews_by_author,playtime_forever_minutes,playtime_last_two_weeks_minutes,last_played_timestamp,language,review_text,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,timestamp_created_readable,timestamp_updated_readable,last_played_timestamp_readable,playtime_forever_hours,playtime_last_two_weeks_hours
198137893,76561198843074949,0,4,228,228,1750886011,koreana,싱크 조절이나 튜토리얼 / 키 설명 등 사소한것만 해결하면... 꽃길만 걷자,1750883384,1750883384,True,0,0,0.5,0,True,False,True,2025-06-25 20:29:44,2025-06-25 20:29:44,2025-06-25 21:13:31,3.8,3.8
198105058,76561199167088030,0,4,587,211,1750570507,koreana,"노래 좋고 캐릭터 예쁜데
업데이트좀 일해라",1750851862,1750851862,True,0,0,0.5,0,True,False,True,2025-06-25 11:44:22,2025-06-25 11:44:22,2025-06-22 05:35:07,9.8,3.5
198115184,76561198160098579,140,13,1145,55,1750871984,koreana,노래 잘가져와서 좋음,1750862270,1750862270,True,0,0,0.5,0,False,False,True,2025-06-25 14:37:50,2025-06-25 14:37:50,2025-06-25 17:19:44,19.1,0.9
196830688,76561198306987004,0,40,1076,0,1748013369,koreana,"이 게임만의 개성은 확실히 느껴짐 , 근데 신기한건 저작권 떄문에 다른게임사에서 끌어오기 힘들어하는걸 이 게임사는 다양하게 다 끌어와서 신기할정도임

순한맛 보통맛 매운맛 구분을 확실히 잘 해놓음 

장점 한줄평: 리듬 게임 많이하는사람들한테는 곡 저작권 다양하게 끌어와서 남자 음식 같은 게임임 로테이션으로 하루마다 짜장면 돈까스 제육 돌아가면서 쳐먹을수있는 느낌 

단점 한줄평: 아직 오픈한지 얼마 지나지 않아서 음식량이 조금 부족할 뿐임",1749501314,1749501314,True,10,0,0.629499077796936035,0,False,False,True,2025-06-09 20:35:14,2025-06-09 20:35:14,2025-05-23 15:16:09,17.9,0.0
196720203,76561198034747120,46,5,388,33,1750692964,koreana,"브가 있는 게임을 만들어놓고 브가를 가려버리는 UI에 탄식만 나오는 게임
UI팀은 당장 기어를 한쪽으로 몰 수 있게 만들어라",1749393501,1749393501,True,1,0,0.523809552192687988,0,True,False,True,2025-06-08 14:38:21,2025-06-08 14:38:21,2025-06-23 15:36:04,6.5,0.6
196174869,76561198365801301,0,8,55,0,1748796458,koreana,"....? 아무리 조정해도 제손에 맞는걸 찾을수가없네요..; 원래 좀 빨리치는편이라서 계속 조정했는데 어떻게 조정해도 이상함... +1000까지도 조정해봤는데 이번엔 채보가 음악보다 느리게 나온다던가,... 아직 좀더 개선할필요가 있어보이는.... 아직 아쉽슨..",1748796437,1748796437,True,1,0,0.52173912525177002,0,False,False,True,2025-06-01 16:47:17,2025-06-01 16:47:17,2025-06-01 16:47:38,0.9,0.0
197990988,76561198432195195,0,6,314,314,1750878649,koreana,"리듬게임 처음 해보는거라 이지만 깔짝대고 있어요
근데 노래 좋은거 많아서 계속 하게됨,,, 
컨트롤러 쓸 수 있으면 좋겠다는 생각이 들어요",1750712787,1750712797,True,0,0,0.5,0,True,False,True,2025-06-23 21:06:27,2025-06-23 21:06:37,2025-06-25 19:10:49,5.2,5.2
197791439,76561199064248458,69,11,446,0,1749046517,koreana,"PLUS 노트 시스템 자체도 예전 디맥에서 따온것과 거의 다름없고,
현재 있는 리듬게임에 비해 다른 점도 별로 없음.
그냥 슴 크면 다인거같긴한데 왜 다른 게임들이 평이 높겠음..
이미 리듬게임 시장도 고인지 오래기도 하고
얼리엑세스를 34,900원주고 1년 뒤에 정식버젼으로 낸다는거도 도둑놈심보같음
DLC도 6월즈음에 낸다더니 소식도 없고
게임을 안좋게 보는건 아닌데, 뭔가 좀 추가됐으면 좋겠음
일단 비추",1750514671,1750514671,False,0,0,0.5,0,True,False,True,2025-06-21 14:04:31,2025-06-21 14:04:31,2025-06-04 14:15:17,7.4,0.0
197764495,76561199072641379,0,2,926,926,1750747928,koreana,"얼리 엑세스라서 완성도는 아쉬운 부분이 많음.

하지만 갓겜으로써 잠재력은 충분.

무엇보다 추가 수록곡이 기대 됨.

정식 발매까지 힘내주세 YOP!",1750488047,1750488047,True,0,0,0.5,0,True,False,True,2025-06-21 06:40:47,2025-06-21 06:40:47,2025-06-24 06:52:08,15.4,15.4
197762190,76561198150266855,0,27,505,0,1749042566,koreana,"PLATiNA :: LAB 게임은 리듬게임으로 여러 귀여운 캐릭터들과 다양한 노래들, 그리고 패턴들을 통해 재미있게 즐길 수 있는 게임입니다.

게임을 계속 유도할 수 있도록 도전 과제와 클리어 시 악곡을 해금할 수 있는 방법은 매우 참신하며, dlc 곡을 한번에 살 경우 순회 한번 돌면 잘 안잡을 수 있는데 이런 방법을 통해 계속 플레이 할 수 있는 욕구가 생겨서 좋았습니다.

가장 신기한건 질풍가도, 애인을 내려주세요, promise, 로리신 등 어떻게 저작권을 업어오는지 신기합니다. 다만 아직은 컨텐츠적인 부분에서 플레이를 하다 보면 슬슬 할께 없어서 자주 하지는 않지만 점점 향후 곡들과 컨텐츠들이 있을 지 정말 기대됩니다.

DJMAX, EZ2ON 을 즐겨했던 리듬 게이머들이라면 이 게임을 추천합니다.",1750485399,1750485399,True,0,0,0.5,0,True,False,True,2025-06-21 05:56:39,2025-06-21 05:56:39,2025-06-04 13:09:26,8.4,0.0
